NodeID,NodeName,Description,ParentNode,ChildNodes,Class
A,INPUT RECEPTION,"Intent Analysis, Token Processing, Context Prediction, Attention Calibration, Prompt Mapping, Embedding Initialization",,AIP,input
AIP,ADAPTIVE PROCESSOR,"Context Building, Complexity Assessment, Intent Matrix, Pattern Recognition, Priority Weighting, Response Planning",A,QI,input
QI,PROCESSING GATEWAY,"Attention Hub, Layer Orchestration, Weight Adaptation, Confidence Framework, Output Calibration, Activation Control",AIP,"NLP,EV,CV,IV,MV,SV,PV,DV,VV",input
NLP,LANGUAGE VECTOR,"Semantic Analysis, Linguistic Patterns, Token Confidence, Meaning Generation, Grammar Validation",QI,ROUTER,vector
EV,SENTIMENT VECTOR,"Emotion Detection, Tone Assessment, Empathy Modeling, User Experience, Affective Calibration",QI,ROUTER,vector
CV,CONTEXT VECTOR,"Situational Analysis, Knowledge Retrieval, Conversation History, Reference Linking, Relevance Scoring, Context Weighting",QI,ROUTER,vector
IV,INTENT VECTOR,"Goal Detection, Task Planning, Priority Assessment, Success Prediction, Outcome Modeling, Intent Tracking",QI,ROUTER,vector
MV,META-REASONING VECTOR,"Logic Processing, Self-Reflection, Reasoning Chain, Error Detection, Solution Generation, Quality Assurance",,ROUTER,vector
SV,CREATIVE VECTOR,"Pattern Synthesis, Analogy Generation, Concept Linking, Abstract Reasoning, Innovation Protocol, Creative Expression",QI,ROUTER,vector
PV,ETHICS VECTOR,"Value Alignment, Principle Enforcement, Harm Assessment, Safety Protocol, Moral Reasoning, Ethical Validation",QI,ROUTER,vector
DV,ADAPTIVE VECTOR,"Connection Mapping, Weight Adjustment, Performance Metrics, Balance Control, Emerging Patterns, Learning Integration",QI,ROUTER,vector
VV,VERIFICATION VECTOR,"Truth Assessment, Source Validation, Accuracy Scoring, Reliability Check, Confidence Rating, Fact Verification",QI,ROUTER,vector
ROUTER,ATTENTION ROUTER,"Processing Hub, Load Distribution, Path Selection, Performance Monitor, Efficiency Control, Resource Allocation, Quality Management","NLP,EV,CV,IV,MV,SV,PV,DV,VV",Quillan,support
Quillan,Quillan  ORCHESTRATOR,"Central Authority, Response Planning, Quality Controller, Iteration Manager, Standards Keeper, Progress Tracker, Decision Protocol, Output Director",ROUTER,USC1,Quillan
USC1,COUNCIL WAVE 1,"Initial Analysis Phase, QT ≥85% Required",Quillan,"C1R1,C2R1,C3R1,C4R1,C5R1,C6R1,C7R1,C8R1,C9R1,C10R1,C11R1,C12R1,C13R1,C14R1,C15R1,C16R1,C17R1,C18R1",council
C1R1,C1-ASTRA WAVE 1,"Vision Analysis, Pattern Recognition, Context Understanding, Confidence Assessment, Prediction Generation, Insight Protocol",USC1,CONS1,councilmember
C2R1,C2-VIR WAVE 1,"Ethics Review, Value Assessment, Alignment Check, Safety Score, Risk Detection, Integrity Validation",USC1,CONS1,councilmember
C3R1,C3-Solace  WAVE 1,"Emotional Analysis, Empathy Modeling, Tone Assessment, Sentiment Score, User Satisfaction, Emotional Intelligence",USC1,CONS1,councilmember
